START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
9/12/2015,6:10 PM,6:10 PM,Rays,Tropicana Field,9/12/2015,9/12/2015,9:10 PM,9:10 PM
9/13/2015,1:10 PM,1:10 PM,Rays,Tropicana Field,9/13/2015,9/13/2015,4:10 PM,4:10 PM
9/14/2015,7:05 PM,7:05 PM,Orioles,Oriole Park at Camden Yards,9/14/2015,9/14/2015,10:05 PM,10:05 PM
9/15/2015,7:05 PM,7:05 PM,Orioles,Oriole Park at Camden Yards,9/15/2015,9/15/2015,10:05 PM,10:05 PM
9/16/2015,7:05 PM,7:05 PM,Orioles,Oriole Park at Camden Yards,9/16/2015,9/16/2015,10:05 PM,10:05 PM
9/18/2015,7:07 PM,7:07 PM,Blue Jays,Rogers Centre,9/18/2015,9/18/2015,10:07 PM,10:07 PM
9/19/2015,1:07 PM,1:07 PM,Blue Jays,Rogers Centre,9/19/2015,9/19/2015,4:07 PM,4:07 PM
9/20/2015,1:07 PM,1:07 PM,Blue Jays,Rogers Centre,9/20/2015,9/20/2015,4:07 PM,4:07 PM
9/21/2015,7:10 PM,7:10 PM,Rays,Fenway Park,9/21/2015,9/21/2015,10:10 PM,10:10 PM
9/22/2015,7:10 PM,7:10 PM,Rays,Fenway Park,9/22/2015,9/22/2015,10:10 PM,10:10 PM
9/23/2015,7:10 PM,7:10 PM,Rays,Fenway Park,9/23/2015,9/23/2015,10:10 PM,10:10 PM
9/24/2015,7:10 PM,7:10 PM,Rays,Fenway Park,9/24/2015,9/24/2015,10:10 PM,10:10 PM
9/25/2015,7:10 PM,7:10 PM,Orioles,Fenway Park,9/25/2015,9/25/2015,10:10 PM,10:10 PM
9/26/2015,3:33 AM,3:33 AM,Orioles,Fenway Park,9/26/2015,9/26/2015,6:33 AM,6:33 AM
9/27/2015,3:33 AM,3:33 AM,Orioles,Fenway Park,9/27/2015,9/27/2015,6:33 AM,6:33 AM
9/28/2015,7:05 PM,7:05 PM,Yankees,Yankee Stadium,9/28/2015,9/28/2015,10:05 PM,10:05 PM
9/29/2015,7:05 PM,7:05 PM,Yankees,Yankee Stadium,9/29/2015,9/29/2015,10:05 PM,10:05 PM
9/30/2015,7:05 PM,7:05 PM,Yankees,Yankee Stadium,9/30/2015,9/30/2015,10:05 PM,10:05 PM
10/1/2015,7:05 PM,7:05 PM,Yankees,Yankee Stadium,10/1/2015,10/1/2015,10:05 PM,10:05 PM
10/2/2015,3:33 AM,3:33 AM,Indians,Progressive Field,10/2/2015,10/2/2015,6:33 AM,6:33 AM
10/3/2015,3:33 AM,3:33 AM,Indians,Progressive Field,10/3/2015,10/3/2015,6:33 AM,6:33 AM
10/4/2015,3:33 AM,3:33 AM,Indians,Progressive Field,10/4/2015,10/4/2015,6:33 AM,6:33 AM
